symbol,buyer_member_id,seller_member_id,volume,price,amount,transaction_time,contract_id
TRH,17,56,100,745.1,74510.0,2026-04-28 14:59:36.760,2026042804014811
TRH,58,56,50,745.2,37260.0,2026-04-28 14:59:36.760,2026042804014810
TRH,54,56,10,745.3,7453.0,2026-04-28 14:59:36.760,2026042804014809
TRH,54,56,10,745.3,7453.0,2026-04-28 14:59:36.760,2026042804014808
TRH,56,56,30,746.0,22380.0,2026-04-28 14:59:36.760,2026042804014807
TRH,41,52,302,745.2,225050.4,2026-04-28 14:44:30.885,2026042804011899
TRH,6,52,500,746.0,373000.0,2026-04-28 14:44:30.885,2026042804011898
TRH,6,52,198,746.0,147708.0,2026-04-28 14:44:30.885,2026042804011897
TRH,6,57,30,746.0,22380.0,2026-04-28 14:28:45.068,2026042804010367
TRH,6,52,52,746.0,38792.0,2026-04-28 14:21:03.159,2026042804009844
TRH,6,50,20,746.0,14920.0,2026-04-28 14:19:23.359,2026042804009709
TRH,45,50,30,746.0,22380.0,2026-04-28 14:15:42.241,2026042804009303
TRH,45,77,10,746.0,7460.0,2026-04-28 14:11:35.003,2026042804008889
TRH,6,41,41,748.0,30668.0,2026-04-28 14:05:49.326,2026042804008383
TRH,6,41,41,748.0,30668.0,2026-04-28 14:05:49.326,2026042804008382
TRH,6,46,106,748.0,79288.0,2026-04-28 14:05:49.326,2026042804008381
TRH,77,47,20,750.0,15000.0,2026-04-28 13:39:05.736,2026042804006664
TRH,74,49,10,750.0,7500.0,2026-04-28 13:34:50.721,2026042804006409
TRH,58,90,95,750.0,71250.0,2026-04-28 12:51:20.698,2026042804004440
TRH,74,90,25,750.1,18752.5,2026-04-28 12:51:20.698,2026042804004439
TRH,42,14,40,760.0,30400.0,2026-04-28 11:28:57.299,2026042804001001
TRH,62,52,100,766.2,76620.0,2026-04-28 11:14:52.964,2026042804000469
TRH,6,58,15,770.0,11550.0,2026-04-28 11:06:09.044,2026042804000155
