symbol,buyer_member_id,seller_member_id,volume,price,amount,transaction_time,contract_id
EBLD86,100,49,5,1076.0,5380.0,2026-04-28 13:42:46.895,2026042801072937
EBLD86,58,13,1,1109.0,1109.0,2026-04-28 13:40:39.029,2026042801072344
