Symbol,buyerMemberId,sellerMemberId,volume,rate,amount,transaction_time,Contract ID
GUFL,45,42,100,518.0,51800.0,"2026-04-28, 12:52:04:343 PM",2026042803003207
GUFL,74,42,15,518.0,7770.0,"2026-04-28, 12:52:04:343 PM",2026042803003206
GUFL,74,42,65,518.0,33670.0,"2026-04-28, 12:49:30:765 PM",2026042803003157
GUFL,21,42,200,518.0,103600.0,"2026-04-28, 12:49:30:765 PM",2026042803003156
GUFL,58,42,150,518.0,77700.0,"2026-04-28, 12:49:30:765 PM",2026042803003155
GUFL,56,42,150,518.0,77700.0,"2026-04-28, 12:49:30:765 PM",2026042803003154
GUFL,34,42,25,518.1,12952.5,"2026-04-28, 12:49:30:765 PM",2026042803003153
GUFL,58,42,60,519.0,31140.0,"2026-04-28, 12:49:30:765 PM",2026042803003152
GUFL,59,42,350,519.0,181650.0,"2026-04-28, 12:49:30:765 PM",2026042803003151
GUFL,59,7,80,519.0,41520.0,"2026-04-28, 12:43:15:206 PM",2026042803003013
GUFL,59,57,70,519.0,36330.0,"2026-04-28, 12:42:33:358 PM",2026042803002985
GUFL,74,25,70,518.1,36267.0,"2026-04-28, 12:12:01:321 PM",2026042803002173
GUFL,56,18,150,518.0,77700.0,"2026-04-28, 12:10:36:326 PM",2026042803002156
GUFL,14,18,100,518.0,51800.0,"2026-04-28, 12:10:36:326 PM",2026042803002155
GUFL,33,25,50,518.1,25905.0,"2026-04-28, 12:07:05:472 PM",2026042803002058
GUFL,54,45,100,521.0,52100.0,"2026-04-28, 11:59:54:347 AM",2026042803001749
GUFL,14,34,185,528.0,97680.0,"2026-04-28, 11:23:10:995 AM",2026042803000464
GUFL,14,94,1000,527.8,527800.0,"2026-04-28, 11:23:10:995 AM",2026042803000463
GUFL,14,60,500,527.8,263900.0,"2026-04-28, 11:23:10:995 AM",2026042803000462
GUFL,14,7,120,527.8,63335.99999999999,"2026-04-28, 11:23:10:995 AM",2026042803000461
GUFL,14,57,25,527.5,13187.5,"2026-04-28, 11:23:10:995 AM",2026042803000460
