Symbol,buyerMemberId,sellerMemberId,volume,rate,amount,transaction_time,Contract ID
EBL,42,22,40,699.0,27960.0,"2026-04-28, 1:36:18:116 PM",2026042801071114
EBL,42,16,200,699.5,139900.0,"2026-04-28, 1:33:26:794 PM",2026042801070227
EBL,3,48,12,698.1,8377.2,"2026-04-28, 1:31:55:886 PM",2026042801069853
EBL,49,16,10,699.5,6995.0,"2026-04-28, 1:31:14:672 PM",2026042801069680
EBL,42,16,10,699.5,6995.0,"2026-04-28, 1:24:47:790 PM",2026042801068252
EBL,16,6,134,699.4,93719.6,"2026-04-28, 1:20:47:762 PM",2026042801067324
EBL,42,6,106,699.4,74136.4,"2026-04-28, 1:19:44:868 PM",2026042801067058
EBL,42,54,44,699.1,30760.4,"2026-04-28, 1:19:44:867 PM",2026042801067057
EBL,29,44,49,698.0,34202.0,"2026-04-28, 1:18:46:932 PM",2026042801066793
EBL,29,44,163,698.0,113774.0,"2026-04-28, 1:18:46:931 PM",2026042801066792
EBL,29,80,116,698.0,80968.0,"2026-04-28, 1:09:17:683 PM",2026042801064344
EBL,39,80,85,698.0,59330.0,"2026-04-28, 1:09:17:683 PM",2026042801064343
EBL,39,17,15,698.0,10470.0,"2026-04-28, 1:08:59:376 PM",2026042801064229
EBL,29,19,38,699.0,26562.0,"2026-04-28, 1:07:10:108 PM",2026042801063713
EBL,29,16,500,699.0,349500.0,"2026-04-28, 1:07:07:170 PM",2026042801063698
EBL,89,35,10,698.4,6984.0,"2026-04-28, 1:06:26:043 PM",2026042801063515
EBL,29,16,483,698.0,337134.0,"2026-04-28, 1:04:56:297 PM",2026042801063110
EBL,49,16,17,698.0,11866.0,"2026-04-28, 1:04:56:296 PM",2026042801063109
EBL,34,6,760,699.2,531392.0,"2026-04-28, 1:03:48:170 PM",2026042801062803
EBL,34,69,200,699.0,139800.0,"2026-04-28, 1:03:48:170 PM",2026042801062802
EBL,34,35,40,699.0,27960.0,"2026-04-28, 1:03:48:170 PM",2026042801062801
EBL,49,42,48,698.0,33504.0,"2026-04-28, 1:01:13:181 PM",2026042801062081
EBL,10,42,10,698.0,6980.0,"2026-04-28, 1:01:13:181 PM",2026042801062080
EBL,6,35,13,699.0,9087.0,"2026-04-28, 12:56:56:448 PM",2026042801060830
EBL,4,6,1,683.0,683.0,"2026-04-28, 12:56:45:877 PM",2026042801060798
EBL,4,40,4,678.1,2712.4,"2026-04-28, 12:56:03:369 PM",2026042801060597
EBL,29,35,147,699.0,102753.0,"2026-04-28, 12:50:52:289 PM",2026042801059016
EBL,29,11,68,699.0,47532.0,"2026-04-28, 12:50:17:398 PM",2026042801058836
EBL,29,37,15,699.0,10485.0,"2026-04-28, 12:45:29:138 PM",2026042801057521
EBL,29,58,10,699.0,6990.0,"2026-04-28, 12:45:29:138 PM",2026042801057520
EBL,29,53,160,699.0,111840.0,"2026-04-28, 12:45:29:137 PM",2026042801057519
EBL,13,53,10,699.0,6990.0,"2026-04-28, 12:44:54:237 PM",2026042801057363
EBL,57,53,22,699.0,15378.0,"2026-04-28, 12:39:26:427 PM",2026042801055303
EBL,52,53,10,699.0,6990.0,"2026-04-28, 12:33:25:224 PM",2026042801052189
EBL,43,53,230,699.0,160770.0,"2026-04-28, 12:31:36:725 PM",2026042801051420
EBL,35,53,14,699.0,9786.0,"2026-04-28, 12:31:26:849 PM",2026042801051369
EBL,19,53,20,699.0,13980.0,"2026-04-28, 12:28:04:823 PM",2026042801049968
EBL,58,53,37,699.0,25863.0,"2026-04-28, 12:28:04:822 PM",2026042801049967
EBL,45,35,16,699.8,11196.8,"2026-04-28, 12:27:27:501 PM",2026042801049676
EBL,28,35,35,699.8,24493.0,"2026-04-28, 12:26:00:976 PM",2026042801048984
EBL,58,35,28,699.8,19594.4,"2026-04-28, 12:25:42:885 PM",2026042801048860
EBL,58,7,10,699.0,6990.0,"2026-04-28, 12:24:00:783 PM",2026042801048091
EBL,58,38,10,699.0,6990.0,"2026-04-28, 12:22:25:829 PM",2026042801047384
EBL,42,35,90,699.8,62981.99999999999,"2026-04-28, 12:20:16:470 PM",2026042801046393
EBL,58,35,18,699.8,12596.4,"2026-04-28, 12:16:46:386 PM",2026042801044876
EBL,19,7,30,697.0,20910.0,"2026-04-28, 12:08:18:526 PM",2026042801041543
EBL,47,7,20,698.0,13960.0,"2026-04-28, 12:08:18:526 PM",2026042801041542
EBL,44,35,140,699.8,97972.0,"2026-04-28, 12:07:26:674 PM",2026042801041204
EBL,21,35,100,699.8,69980.0,"2026-04-28, 12:04:31:183 PM",2026042801039845
EBL,22,35,20,699.8,13996.0,"2026-04-28, 12:04:26:136 PM",2026042801039782
EBL,58,51,1,680.0,680.0,"2026-04-28, 12:03:32:599 PM",2026042801039302
EBL,45,32,50,697.0,34850.0,"2026-04-28, 11:58:42:654 AM",2026042801036994
EBL,44,32,19,697.9,13260.1,"2026-04-28, 11:58:42:654 AM",2026042801036993
EBL,46,32,300,698.0,209400.0,"2026-04-28, 11:58:22:680 AM",2026042801036822
EBL,42,32,70,698.0,48860.0,"2026-04-28, 11:58:22:680 AM",2026042801036821
EBL,38,32,453,698.0,316194.0,"2026-04-28, 11:58:22:680 AM",2026042801036820
EBL,38,7,47,698.0,32806.0,"2026-04-28, 11:58:09:933 AM",2026042801036743
EBL,11,7,20,698.0,13960.0,"2026-04-28, 11:58:09:933 AM",2026042801036742
EBL,32,7,20,698.0,13960.0,"2026-04-28, 11:58:09:933 AM",2026042801036741
EBL,58,7,13,698.0,9074.0,"2026-04-28, 11:58:09:933 AM",2026042801036740
EBL,45,7,200,698.1,139620.0,"2026-04-28, 11:58:09:932 AM",2026042801036739
EBL,42,35,193,699.8,135061.4,"2026-04-28, 11:54:19:397 AM",2026042801034711
EBL,42,16,357,699.5,249721.5,"2026-04-28, 11:54:19:397 AM",2026042801034710
EBL,58,16,10,699.5,6995.0,"2026-04-28, 11:52:55:458 AM",2026042801033942
EBL,7,16,100,699.5,69950.0,"2026-04-28, 11:52:18:317 AM",2026042801033548
EBL,14,16,33,699.5,23083.5,"2026-04-28, 11:52:03:981 AM",2026042801033432
EBL,58,36,12,698.0,8376.0,"2026-04-28, 11:50:56:411 AM",2026042801032939
