contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,price,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041003002901,BFC,32,58,20,465.5,9310.0,2026-04-10,185949023,227,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-10T12:29:17.911642,Best Finance Company Ltd.
2026041003002907,BFC,89,58,200,465.3,93060.0,2026-04-10,185949099,227,Global IME Securities Limited,Naasa Securities Co. Ltd.,2026-04-10T12:29:24.556139,Best Finance Company Ltd.
2026041003002924,BFC,8,58,75,466.0,34950.0,2026-04-10,185949341,227,Brilliant Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-10T12:29:41.127987,Best Finance Company Ltd.
2026041003003658,BFC,58,6,29,468.4,13583.6,2026-04-10,185965181,227,Naasa Securities Co. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T12:53:27.270591,Best Finance Company Ltd.
2026041003003659,BFC,58,58,71,468.4,33256.4,2026-04-10,185965184,227,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-10T12:53:27.270723,Best Finance Company Ltd.
2026041003003763,BFC,56,57,200,466.2,93240.0,2026-04-10,185969149,227,Sri Hari Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-10T13:00:21.052545,Best Finance Company Ltd.
2026041003003870,BFC,25,49,80,466.3,37304.0,2026-04-10,185971575,227,Sweta Securities Private Limited,Online Securities Pvt. Ltd.,2026-04-10T13:06:07.853063,Best Finance Company Ltd.
2026041003003939,BFC,56,49,20,466.6,9332.0,2026-04-10,185972873,227,Sri Hari Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-10T13:09:24.456533,Best Finance Company Ltd.
2026041003003953,BFC,1,45,100,468.3,46830.0,2026-04-10,185973289,227,Kumari Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-10T13:10:27.931736,Best Finance Company Ltd.
2026041003003954,BFC,1,58,29,468.4,13583.6,2026-04-10,185973292,227,Kumari Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-10T13:10:27.931979,Best Finance Company Ltd.
2026041003004160,BFC,35,58,13,467.1,6072.3,2026-04-10,185978431,227,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-10T13:21:21.304267,Best Finance Company Ltd.
2026041003004334,BFC,49,16,300,468.0,140400.0,2026-04-10,185983132,227,Online Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-10T13:27:37.606258,Best Finance Company Ltd.
2026041003004346,BFC,48,16,50,468.0,23400.0,2026-04-10,185983218,227,Trishakti Securities Public Limited,Primo Securities (PVT) Ltd.,2026-04-10T13:27:45.820514,Best Finance Company Ltd.
2026041003004351,BFC,35,16,450,468.0,210600.0,2026-04-10,185983334,227,Kohinoor Investment & Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-10T13:28:00.470578,Best Finance Company Ltd.
2026041003004376,BFC,48,13,80,470.0,37600.0,2026-04-10,185983655,227,Trishakti Securities Public Limited,Thrive Brokerage House Pvt. Ltd,2026-04-10T13:28:42.559286,Best Finance Company Ltd.
2026041003004377,BFC,48,49,20,470.0,9400.0,2026-04-10,185983658,227,Trishakti Securities Public Limited,Online Securities Pvt. Ltd.,2026-04-10T13:28:42.559561,Best Finance Company Ltd.
2026041003004933,BFC,17,6,20,471.9,9438.0,2026-04-10,185993985,227,ABC Securities Private Limited,Agrawal Securities (PVT) Ltd.,2026-04-10T13:45:49.376466,Best Finance Company Ltd.
2026041003004934,BFC,17,42,100,472.0,47200.0,2026-04-10,185993987,227,ABC Securities Private Limited,Sani Securities Company Ltd.,2026-04-10T13:45:49.376606,Best Finance Company Ltd.
2026041003004935,BFC,17,26,200,474.0,94800.0,2026-04-10,185993989,227,ABC Securities Private Limited,Asian Securities Private Ltd.,2026-04-10T13:45:49.376669,Best Finance Company Ltd.
2026041003004936,BFC,17,10,180,474.8,85464.0,2026-04-10,185993992,227,ABC Securities Private Limited,Pragyan Securities (PVT) Ltd.,2026-04-10T13:45:49.376694,Best Finance Company Ltd.
2026041003005283,BFC,91,19,100,470.0,47000.0,2026-04-10,185999861,227,Citizens Share Broker Limited,Nepal Investment And Securities Trading Private Limited,2026-04-10T13:54:35.840123,Best Finance Company Ltd.
2026041003005482,BFC,52,22,50,469.0,23450.0,2026-04-10,186004561,227,Sundhara Securities Limited,Siprabi Securities Pvt. Ltd.,2026-04-10T13:58:31.086789,Best Finance Company Ltd.
2026041003005558,BFC,52,49,14,469.0,6566.0,2026-04-10,186005853,227,Sundhara Securities Limited,Online Securities Pvt. Ltd.,2026-04-10T14:00:10.580701,Best Finance Company Ltd.
2026041003005606,BFC,52,1,100,469.0,46900.0,2026-04-10,186006733,227,Sundhara Securities Limited,Kumari Securities Private Limited,2026-04-10T14:01:40.921715,Best Finance Company Ltd.
2026041003005768,BFC,58,58,490,472.0,231280.0,2026-04-10,186009880,227,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-10T14:07:09.932794,Best Finance Company Ltd.
2026041003005904,BFC,52,58,10,472.0,4720.0,2026-04-10,186012483,227,Sundhara Securities Limited,Naasa Securities Co. Ltd.,2026-04-10T14:12:49.353666,Best Finance Company Ltd.
2026041003006366,BFC,52,21,76,472.0,35872.0,2026-04-10,186019438,227,Sundhara Securities Limited,Midas Stock Broking Company Private Limited,2026-04-10T14:24:04.794509,Best Finance Company Ltd.
2026041003006457,BFC,35,21,24,472.0,11328.0,2026-04-10,186020903,227,Kohinoor Investment & Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-04-10T14:26:14.070237,Best Finance Company Ltd.
2026041003006458,BFC,35,33,45,472.0,21240.0,2026-04-10,186020905,227,Kohinoor Investment & Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-10T14:26:14.070385,Best Finance Company Ltd.
2026041003006459,BFC,35,22,30,472.0,14160.0,2026-04-10,186020907,227,Kohinoor Investment & Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-10T14:26:14.070443,Best Finance Company Ltd.
2026041003006551,BFC,44,66,4,471.0,1884.0,2026-04-10,186022471,227,Dynamic Money Managers Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,2026-04-10T14:28:12.884258,Best Finance Company Ltd.
2026041003006787,BFC,34,38,20,470.0,9400.0,2026-04-10,186026080,227,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-10T14:33:02.339692,Best Finance Company Ltd.
2026041003006814,BFC,58,38,300,470.0,141000.0,2026-04-10,186026426,227,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-10T14:33:31.232331,Best Finance Company Ltd.
2026041003006857,BFC,58,38,20,470.0,9400.0,2026-04-10,186027584,227,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-10T14:35:18.816843,Best Finance Company Ltd.
2026041003006861,BFC,58,38,10,470.0,4700.0,2026-04-10,186027616,227,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-10T14:35:24.921556,Best Finance Company Ltd.
2026041003006871,BFC,58,48,90,471.9,42471.0,2026-04-10,186027791,227,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-04-10T14:35:39.194489,Best Finance Company Ltd.
2026041003006872,BFC,58,13,810,472.0,382320.0,2026-04-10,186027794,227,Naasa Securities Co. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-10T14:35:39.194626,Best Finance Company Ltd.
2026041003006906,BFC,58,13,80,472.0,37760.0,2026-04-10,186028444,227,Naasa Securities Co. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-10T14:36:25.700875,Best Finance Company Ltd.
2026041003006951,BFC,58,13,10,472.0,4720.0,2026-04-10,186029596,227,Naasa Securities Co. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-10T14:37:56.988047,Best Finance Company Ltd.
2026041003006995,BFC,58,58,10,472.0,4720.0,2026-04-10,186030130,227,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-10T14:38:38.194733,Best Finance Company Ltd.
2026041003007306,BFC,42,13,100,470.1,47010.0,2026-04-10,186036731,227,Sani Securities Company Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-10T14:45:49.514304,Best Finance Company Ltd.
2026041003007829,BFC,7,43,200,469.0,93800.0,2026-04-10,186046327,227,J.F. Securites (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-10T14:53:31.434106,Best Finance Company Ltd.
2026041003008578,BFC,7,6,10,473.0,4730.0,2026-04-10,186059428,227,J.F. Securites (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T14:59:39.781772,Best Finance Company Ltd.
2026041003008634,BFC,39,49,20,470.0,9400.0,2026-04-10,186060369,227,Sumeru Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-10T14:59:49.188157,Best Finance Company Ltd.
